"ccode","year","rgdppc","logrgdppc","wbgdppc","wbpec","logwbgdppc","logwbpec","irst","cowpec","cinc","logcowpec","fv1","fv2","fv3","fv4","explogrgdppc","explogwbgdppc"
2,1946,,,,,,,60421,1188144,0.3639884,13.987904,,9.3788424,,7.9698877,9.3788424,7.9698877
2,1947,,,,,,,77015,1315777,0.30994189,14.089939,,9.3750076,,7.9652476,9.3750076,7.9652476
2,1948,,,,,,,80413,1396394,0.2946597,14.149405,,9.3727722,,7.9625435,9.3727722,7.9625435
2,1949,,,,,,,70740,1199344,0.27316639,13.997286,,9.3784895,,7.969461,9.3784895,7.969461
2,1950,12776.54,9.4553661,,,,,87848,1241836,0.28444299,14.032103,,9.3771811,,7.9678779,9.4553661,7.9678779
2,1951,13422.41,9.5046806,,,,,95435,1325948,0.31949949,14.097639,,9.4023476,,7.9648976,9.5046806,7.9648976
2,1952,13616.2,9.5190153,,,,,84520,1309824,0.31136739,14.085404,,9.4070044,,7.9654541,9.5190153,7.9654541
2,1953,13987.87,9.5459461,,,,,101250,1347597,0.31115839,14.113834,,9.4367638,,7.9641609,9.5459461,7.9641609
2,1954,13727.4,9.5271492,,,,,80115,1302449,0.28094009,14.079758,,9.4943657,,7.9657106,9.5271492,7.9657106
2,1955,14532.92,9.5841713,,,,,106173,1415958,0.26642251,14.163318,,9.5262556,,7.9619107,9.5841713,7.9619107
2,1956,14586.76,9.5878696,,,,,104522,1492506,0.2606138,14.215968,,9.5522099,,7.9595165,9.5878696,7.9595165
2,1957,14627.45,9.5906553,,,,,102253,1494767,0.2550486,14.217482,,9.5851517,,7.9594474,9.5906553,7.9594474
2,1958,14220.42,9.5624342,,,,,77342,1437859,0.23446999,14.178666,,9.5928669,,7.9612126,9.5624342,7.9612126
2,1959,15001.48,9.6159039,,,,,84773,1513627,0.2289647,14.23002,,9.6210251,,7.9588776,9.6159039,7.9588776
2,1960,15180.24,9.6277494,3007.1235,5641.7407,8.0087395,8.637948,90067,1421218,0.2154438,14.167026,9.6176033,9.7181597,7.7304988,7.9617419,9.6277494,8.0087395
2,1961,15269.56,9.6336164,3066.563,5612.0796,8.0283127,8.6326771,88917,1447002,0.2106549,14.185005,9.6503935,9.7477722,7.7505927,8.0062723,9.6336164,8.0283127
2,1962,15955.46,9.677556,3243.843,5774.5864,8.0845137,8.6612215,89202,1508570,0.20991141,14.226673,9.671113,9.7970924,7.8064389,8.068222,9.677556,8.0845137
2,1963,16434.49,9.7071371,3374.5151,5986.7842,8.1240072,8.6973095,99120,1589655,0.20796651,14.279028,9.7049217,9.8267164,7.8724699,8.1303625,9.7071371,8.1240072
2,1964,17198.641,9.7525854,3573.9412,6136.938,8.1814241,8.7220812,115281,1610682,0.2029826,14.292169,9.7494984,9.8570824,7.9613996,8.2150526,9.7525854,8.1814241
2,1965,18092.02,9.8032265,3827.5271,6307.8901,8.2499743,8.7495565,119260,1700357,0.2015391,14.34635,9.7827959,9.8850088,8.020916,8.2872391,9.8032265,8.2499743
2,1966,19026.971,9.8536129,4146.3164,6591.3403,8.3299761,8.7935123,121655,1784048,0.2086695,14.394396,9.8219976,9.8990097,8.1018801,8.3243904,9.8536129,8.3299761
2,1967,19260.51,9.8658123,4336.4268,6809.8203,8.3748055,8.8261213,115406,1903194,0.2085481,14.459044,9.8486395,9.9207983,8.1597958,8.3454485,9.8658123,8.3748055
2,1968,20008.83,9.9039288,4695.9233,7073.479,8.4544497,8.8641081,119262,1985402,0.2039257,14.501332,9.8865404,9.9698839,8.1739988,8.3899775,9.9039288,8.4544497
2,1969,20483.4,9.9273701,5032.1445,7332.3687,8.5236015,8.900054,128152,2034492,0.1975469,14.525757,9.9342461,10.016278,8.2489958,8.4688196,9.9273701,8.5236015
2,1970,20333.83,9.9200411,5246.8643,7569.0767,8.5653858,8.9318266,119309,2469126,0.1798439,14.719376,9.9375401,10.114402,8.346734,8.5851536,9.9200411,8.5653858
2,1971,20889.49,9.9470015,5623.4438,7644.5249,8.6346998,8.9417448,109265,2497135,0.1688821,14.730655,10.298621,10.168518,8.7732401,8.642724,9.9470015,8.6346998
2,1972,21921.25,9.9952116,6109.9307,7940.998,8.7176704,8.9797945,120875,2576787,0.1632864,14.762054,10.339069,10.201942,8.9050465,8.7512112,9.9952116,8.7176704
2,1973,23084.529,10.046918,6741.29,8163.604,8.8160067,9.0074406,136804,2672528,0.15719751,14.798535,10.344428,10.219074,9.0991297,8.9550028,10.046918,8.8160067
2,1974,22677.381,10.029123,7242.4175,7909.5864,8.8877106,8.975831,132196,2621686,0.1513209,14.779328,10.283913,10.173418,9.3294735,9.1796598,10.029123,8.8877106
2,1975,22374.92,10.015696,7820.0518,7656.2637,8.9644461,8.9432793,105897,2570153,0.14250229,14.759477,10.280531,10.199223,9.3978662,9.28971,10.015696,8.9644461
2,1976,23452.869,10.062748,8611.416,8100.562,9.0608444,8.9996891,116121,2715656,0.1408845,14.814545,10.316265,10.228251,9.4774246,9.3373766,10.062748,9.0608444
2,1977,24343.039,10.100001,9471.3018,8285.5713,9.1560221,9.0222712,113701,2805234,0.1401722,14.846998,10.332172,10.255281,9.5767813,9.4317617,10.100001,9.1560221
2,1978,25545.15,10.148203,10587.281,8438.4033,9.2674084,9.0405483,124314,2818576,0.1381623,14.851743,10.351283,10.277551,9.6733122,9.5357952,10.148203,9.2674084
2,1979,26046.75,10.167648,11695.541,8327.042,9.3669634,9.0272636,123688,2866804,0.1356744,14.868709,10.332819,10.268378,9.8058453,9.6753244,10.167648,9.3669634
2,1980,25553.73,10.148539,12597.689,7942.2529,9.4412689,8.9799519,101456,2799174,0.1317046,14.844835,10.289955,10.241533,9.9337311,9.7958517,10.148539,9.4412689
2,1981,25977.471,10.164985,13993.141,7647.5381,9.5463228,8.9421387,109614,2713720,0.1365281,14.813831,10.266275,10.239479,9.9143877,9.7966623,10.164985,9.5463228
2,1982,25131.119,10.131863,14438.972,7259.0791,9.5776863,8.890008,67656,2594129,0.1281606,14.768762,10.240017,10.242405,9.8490372,9.777009,10.131863,9.5776863
2,1983,26026.471,10.166869,15561.439,7199.1187,9.6525517,8.8817139,76762,2597045,0.131504,14.769885,10.241559,10.242873,9.8036289,9.7376976,10.166869,9.6525517
2,1984,27750.52,10.231009,17134.273,7443.3198,9.7488356,8.9150724,83940,3177672,0.1313398,14.97166,10.267785,10.255639,9.7871561,9.7353802,10.231009,9.7488356
2,1985,28454.6,10.256065,18269.447,7456.2627,9.8129854,8.91681,80067,3161485,0.13325261,14.966553,10.262818,10.260338,9.7772074,9.7342701,10.256065,9.8129854
2,1986,29013.699,10.275523,19115.031,7376.0962,9.8582306,8.9060001,74032,3285852,0.1320948,15.005136,10.245606,10.262263,9.8384056,9.8074007,10.275523,9.8582306
2,1987,29639.43,10.296861,20100.871,7622.1729,9.9085188,8.938817,80876,3430381,0.1312786,15.048182,10.264809,10.27413,9.931016,9.8981371,10.296861,9.9085188
2,1988,30505.801,10.325672,21483.236,7849.7539,9.975028,8.9682379,90631,3725148,0.13275561,15.130617,10.277351,10.282743,9.9802198,9.9441128,10.325672,9.975028
